Nr_Kopalni	Miasto
1	Olg
2	Olg
3	Sermu
4	Wlady
5	Noopie
6	Bibbs
7	Malwia
8	Gharz
9	Omkuuy
10	Gendry
11	Olg
12	Kooco
13	Katro
14	Atamra
15	Putri
16	Gharz
17	Gharz
18	Kooco
19	Noopie
20	Kooco
21	Olg
22	Fruk
23	Bibbs
24	Wlady
25	Olg
26	Olg
27	Gharz
28	Malwia
29	Fruk
30	Malwia
31	Fruk
32	Noopie
33	Omkuuy
34	Onfiet
35	Fruk
36	Fruk
37	Katro
38	Olg
39	Olg
40	Atamra
41	Gendry
42	Bibbs
43	Bibbs
44	Olg
45	Mitre
46	Atamra
47	Raposta
48	Noopie
49	Mitre
50	Putri
51	Mitre
52	Noopie
53	Kooco
54	Wlady
55	Bladds
56	Putri
57	Malwia
58	Onfiet
59	Omkuuy
60	Sermu
61	Fruk
62	Bladds
63	Wlady
64	Fruk
65	Onfiet
66	Onfiet
67	Mitre
68	Bimm
69	Gendry
70	Fruk
71	Omkuuy
72	Amess
73	Atamra
74	Noopie
75	Raposta
76	Mitre
77	Atamra
78	Mitre
79	Onfiet
80	Bimm
81	Noopie
82	Putri
83	Kooco
84	Onfiet
85	Noopie
86	Fruk
87	Gharz
88	Bimm
89	Raposta
90	Gendry
91	Bibbs
92	Fruk
93	Noopie
94	Bladds
95	Amess
96	Putri
97	Fruk
98	Fruk
99	Bladds
100	Onfiet
101	Kooco
102	Bibbs
103	Sermu
104	Katro
105	Bibbs
106	Bibbs
107	Malwia
108	Malwia
109	Noopie
110	Raposta
111	Onfiet
112	Mitre
113	Amess
114	Bladds
115	Putri
116	Noopie
117	Noopie
118	Raposta
119	Sermu
120	Wlady
121	Omkuuy
122	Fruk
123	Sermu
124	Wlady
125	Olg
126	Bimm
127	Bibbs
128	Bibbs
129	Kooco
130	Omkuuy
131	Raposta
132	Fruk
133	Noopie
134	Noopie
135	Malwia
136	Mitre
137	Olg
138	Bimm
139	Malwia
140	Noopie
141	Omkuuy
142	Omkuuy
143	Wlady
144	Putri
145	Bibbs
146	Olg
147	Katro
148	Gendry
149	Bladds
150	Bibbs
151	Malwia
152	Bladds
153	Olg
154	Olg
155	Gharz
156	Wlady
157	Raposta
158	Wlady
159	Kooco
160	Gendry
161	Olg
162	Fruk
163	Katro
164	Noopie
165	Malwia
166	Bimm
167	Gendry
168	Onfiet
169	Mitre
170	Bibbs
171	Amess
172	Noopie
173	Katro
174	Onfiet
175	Bladds
176	Malwia
177	Amess
178	Gendry
179	Olg
180	Putri
181	Kooco
182	Katro
183	Gendry
184	Bimm
185	Putri
186	Sermu
187	Olg
188	Gharz
189	Omkuuy
190	Bimm
191	Onfiet
192	Bibbs
193	Atamra
194	Gharz
195	Bladds
196	Gharz
197	Atamra
198	Noopie
199	Fruk
200	Noopie
