Dzień	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200
2023-03-01	2,068932944	2,776324542	2,741570189	1,259929201	2,14290413	3,628745767	3,976074807	2,663771311	1,651333116	1,79637258	2,374275288	2,274927163	3,325951893	2,459942305	1,611417574	1,650201038	1,955366841	1,762061004	2,918917137	3,438666714	3,787111887	2,348030817	3,811820793	3,254567905	3,029316195	1,064738987	3,280108353	2,911816691	3,822309463	3,927699817	1,66556955	1,480912843	1,034410878	2,023661577	1,656572594	1,385451793	3,528166558	2,192216086	2,199295738	1,060776928	3,319595483	2,069359414	2,129926674	3,514147089	1,655442079	2,047174963	1,73877969	3,04978987	3,287405043	3,055863158	1,73906114	2,839051566	3,14948615	1,440319684	1,220514558	3,426726537	3,438154401	1,419007507	2,851786365	3,612889277	1,062353457	3,314641091	2,545136137	3,498641479	3,675931246	2,567491692	3,240302406	3,927069006	2,560720433	1,917194272	1,606060195	2,608130148	1,13704545	1,483659297	1,602133638	2,484334507	1,972173651	2,330072788	2,78031287	1,083012334	3,787190566	2,274564366	1,276792809	2,118297858	2,380242641	2,58530527	2,387197299	1,855238639	2,234025286	2,762907707	1,406000921	1,450047341	1,121937924	1,807952436	3,162765868	1,36365751	1,45794744	3,801722592	1,550037382	2,705905681	2,892308158	2,504698682	2,775202423	1,304481688	3,393622321	3,216849593	3,453692927	1,194775427	1,291918334	1,80746721	2,172243601	1,28764258	3,763998182	1,692178578	2,675849096	3,587513934	2,658196077	3,843185495	2,221686964	2,433360138	2,74575893	2,338387135	1,84298007	3,012890547	1,224481601	1,46807448	1,162369361	1,441270541	2,657444297	3,857897278	2,950329994	2,130762741	3,278434745	3,193941439	3,907668087	3,365997096	3,80475885	1,782717363	2,006675106	2,370053318	3,670576364	1,699978817	2,400432962	2,126378139	1,288786959	1,076067626	2,048552576	3,522899872	3,913418909	2,575261366	3,346031498	2,536541672	1,753061289	1,439654532	1,75557932	1,626440948	1,607760637	1,46017179	1,933537163	3,800688365	2,208796821	1,1345296	2,087691113	2,30630222	3,037139204	3,459379056	3,153859575	1,997085818	3,700652166	3,272664816	1,878551502	1,56906548	3,084972087	3,446863438	2,232510997	2,398609974	3,027226092	3,169964896	2,891303082	3,672531947	2,389017451	3,162051359	3,295654555	3,8312895	2,787222347	1,308435967	2,866344689	1,454517523	2,493361102	3,398851979	1,552143528	3,820728566	3,394727676	3,362687504	1,618749633	2,297980543	1,028006711	1,822717717	2,613133541	3,795065948
2023-03-02	2,01089722	2,212893592	1,600148304	2,346093279	3,697726319	2,802955538	2,2988866	3,052966069	3,697862874	1,775231537	2,049434866	1,488549374	2,37250714	2,279949234	2,182873462	3,408595646	3,032707847	1,206505083	1,152234539	1,507764039	3,97217216	2,478103619	1,230494827	3,564233308	2,905940185	1,815896355	1,293607439	2,180904641	1,0024079	1,955055339	3,764879849	1,88203739	3,633357708	3,758746461	1,588764782	2,366039606	1,073237888	3,163301391	1,638433365	1,177015033	3,687550463	3,578544777	1,085123142	2,790084851	2,563902576	1,408182037	2,513395199	3,606935667	2,126964641	1,107963721	1,232856776	2,244951796	1,745266182	3,123972474	2,264901138	1,064101611	3,289619779	2,293098451	3,047657607	3,788672318	1,043232169	3,496340881	2,600261595	3,659873269	1,161366026	1,724860134	3,279602719	3,706226163	2,431831942	1,883050541	3,421422702	2,054989052	3,384037293	3,330711748	1,70707177	1,198256667	3,828048548	2,510191988	3,6647261	1,271691729	2,432392016	3,387747567	2,479905496	1,610067337	1,484581556	3,641713342	3,962035367	3,800473991	2,900284475	1,296093609	2,7629895	3,03133602	3,991849305	1,423742	2,060210635	3,279043013	2,561587845	3,077505442	2,599949461	3,105008085	3,378620434	1,696129925	3,941143473	2,790601889	2,485863296	1,663206028	3,286193414	2,751870702	3,794746734	1,363911383	1,818112062	2,198408018	1,422639595	2,291296173	2,749969159	2,886188792	3,205734853	2,242912635	3,18818944	2,127636985	1,38223202	2,597184699	2,513235163	2,737515201	2,590299213	3,117749915	2,956746635	1,813212969	3,131804006	3,409018072	2,009473426	3,092527963	2,855024094	2,047382665	2,61247203	3,754449617	2,709197479	3,042008306	3,718709842	3,308815844	1,661886856	1,324345015	1,499735241	1,814497457	3,772657589	1,255761638	2,964316282	2,592893205	2,17781314	2,837169471	2,629636106	3,131619928	1,733831375	3,652513106	2,566614282	1,169726818	3,325141472	1,931154754	3,035487087	1,795879108	2,852470379	2,570369079	1,584731202	1,168333299	3,154696241	2,705295786	2,985080239	3,270559279	1,834081213	1,8582684	3,302681521	1,171516532	3,62396518	2,151609053	3,093855016	1,349968279	2,309589955	2,736378728	1,213077425	1,035834238	3,128260546	3,594418938	1,274194642	1,569864759	1,740795834	3,818319716	2,835791604	3,030780088	3,194720796	2,663353939	2,364565746	3,338412276	1,467460675	3,524507882	2,756356392	3,146119127	3,778451414	3,393121523	3,445577881	2,755466504
2023-03-03	2,76195171	1,188012125	1,621760874	3,072510631	3,089651479	2,993394691	2,479433103	1,801764733	1,46645993	3,02878742	3,59704533	3,249112545	3,423183387	2,457722215	2,031077557	1,095706437	3,595320102	2,215933971	1,818423316	2,640885416	3,757038758	3,804953245	2,513225247	1,641114642	2,161366768	1,338546302	1,162545899	1,027599342	2,215794137	3,220920074	2,301949581	3,871852469	3,355615921	2,723335613	2,754366878	3,257725385	2,293005508	2,455970518	2,898799042	3,387996367	3,128762156	1,60508008	1,651758756	1,05615511	2,881383699	2,313623027	2,861966966	2,485315767	1,221101151	2,540740642	1,716627922	2,960858304	1,38432492	2,273233585	3,208346107	2,734668169	3,836456877	3,350575271	1,973901616	3,830327382	1,454837968	2,170823469	2,853872065	1,287185659	3,888471281	2,174096066	2,795072278	3,122309838	1,807937529	2,489370191	1,263003281	3,893689013	1,293176001	1,643173932	3,315733692	1,897669532	1,020965012	1,512740758	2,054792352	3,823762242	1,80076667	2,43544686	2,252119658	3,74700353	1,623086358	1,979102573	1,938035231	1,749856169	2,632252469	3,328466652	1,731777617	3,485567758	3,32752177	2,325885185	1,851863394	1,697476798	1,495231263	1,991663166	3,599687829	2,044385915	1,787010898	2,062164706	3,100864892	3,943421207	2,151484181	2,052033966	1,513703479	3,064973162	1,192544177	1,36598252	2,708370813	3,910108575	1,979904719	1,86104379	3,486464712	1,29893053	3,809048567	3,453792815	3,58129888	1,414226654	3,143422242	2,954546431	2,006088046	2,683382319	2,867174852	1,173313866	2,412266053	1,670825251	2,820318153	1,074853357	1,522976137	2,607646594	1,463736013	3,144222543	2,35288845	3,352394522	2,965002132	1,242604054	3,379529288	3,758533682	2,078353188	2,542784283	3,766742422	1,966749416	2,168134927	1,684555537	1,883361407	3,258911809	3,873758171	2,361543429	2,536279279	3,67763504	1,379039633	3,731138933	2,438454907	3,759537688	3,182481561	2,170008261	3,227258898	1,79802816	3,58856159	2,037723752	1,088739374	1,504279734	3,607702933	3,864996021	2,247954317	2,961087125	2,032915762	1,848866869	1,83206236	3,589444495	1,236276909	3,866280197	1,091246825	3,066434172	1,630478532	2,40701725	1,043236404	2,580386113	3,209336599	1,673094303	1,834677125	2,657975018	1,790051219	2,600455431	3,398346901	2,026263112	3,935463419	1,582289623	2,706037982	3,898713228	1,412377531	2,020514834	2,575691724	2,345311875	3,582667191	1,592390794	2,278687859	1,256761788
2023-03-04	1,204902422	3,94019369	2,993566913	1,777220285	3,990229273	3,61680709	1,47390837	3,574327501	3,617781393	2,415406471	1,258965517	3,080009328	3,602394275	2,962878434	2,021007848	3,927485164	1,557702849	1,560671306	1,350728756	2,984454631	2,114176212	1,363136867	2,538475047	2,950986822	1,075449277	3,42996422	1,364258005	1,357579095	2,471785716	3,485822057	1,946113681	1,756341043	3,634542543	2,062669863	1,432140578	1,30493903	2,73133338	3,691606652	1,952139164	2,717692038	2,097946183	2,794513357	1,560903822	1,454252428	3,189745021	3,636934351	3,465622488	2,373515497	1,422203706	1,714781693	2,603068532	1,095479079	2,722063089	3,541212247	2,859084055	1,465816407	3,394767038	2,338997226	3,016220883	1,811610038	3,950627377	1,627716278	1,273417874	2,217494181	2,508275949	1,844584353	3,139720857	2,105949447	3,230566926	2,38472446	3,070378561	3,646968984	1,839044398	3,0737224	1,979805622	2,402634295	2,506443983	2,664167143	1,562986913	1,159933309	2,300502708	2,001353003	2,123348816	2,361943094	3,028843061	3,461931812	1,413660591	3,148976583	1,404087253	2,287669772	1,628374406	2,672434392	1,100765129	3,636273469	2,989957759	1,908728923	3,238130896	2,851403536	1,602542905	3,12917887	2,122601522	1,710015378	3,553285631	1,104024203	1,113123772	1,691415677	3,722166302	1,028094782	2,52035862	1,485042112	2,042857211	3,408156366	2,887909989	1,418872312	2,959011955	3,150024102	2,224580034	3,736481887	2,050771691	3,343662845	1,620580655	2,279305634	3,410271473	3,225806516	1,278266631	1,851650077	3,175017862	1,422638609	1,106920595	3,297520719	1,297538642	2,151776628	2,882125382	3,159808552	3,216443761	2,071752752	3,826624946	3,648374442	1,328729433	3,878100645	1,154610342	1,375090841	2,848630287	2,935851386	2,533935175	2,933836657	3,365492756	1,994067209	3,67466748	3,841385112	1,938027233	3,548128176	3,021275379	3,23415443	3,435670453	3,645211179	2,859474121	2,678601311	3,976069318	2,630500128	1,704379206	2,224801711	1,4489029	3,889107389	1,090699021	1,154605448	1,724719887	1,572077078	2,701139794	2,947841091	1,944252511	1,785473261	1,490774284	3,140872893	3,223011435	2,230065834	1,072729359	2,205048084	3,563889344	2,236149878	1,753916246	1,892721571	3,59744851	2,16208564	1,69862042	2,719157153	2,030850407	1,197940006	2,904587118	3,151782271	1,861682125	2,829289883	3,988531145	3,008832234	3,636929934	3,652944517	2,639672765	2,62656904	1,985541745	1,083629798
2023-03-05	3,578648528	1,462475289	1,350852331	3,501312038	3,102044242	3,247079811	3,676824031	2,037731134	1,955492589	2,07940634	3,185951245	3,368931959	3,237107303	2,601309998	2,750534043	2,523958867	2,633594319	2,517138539	3,230564487	3,957032976	1,219149196	1,604532287	1,138804187	3,503533194	1,595231533	3,624670609	2,547526919	1,321551561	1,920311937	2,293427666	1,174641713	3,526438549	2,259806855	1,790998711	1,696534343	3,059027922	1,717729909	3,475365674	3,298948503	3,655329842	1,01795098	2,457767765	3,387234836	2,548682918	1,490381072	1,633054638	1,897643995	1,225314588	1,799091694	1,551603184	2,720030593	2,051709764	3,375512295	2,440165363	3,413887882	2,628059421	3,604513205	3,639095062	2,271795847	2,65273951	3,936014073	3,144123785	1,370570776	2,729484382	3,319164542	1,377892798	1,895594376	2,289428299	1,951247773	1,24763279	2,108382581	3,878279275	3,742745298	3,29164967	1,543653486	2,993221109	1,937747621	1,450029797	1,586603819	2,456159183	3,663879839	2,965020738	1,897271306	1,403036389	2,606879086	2,15399878	2,343676633	3,702261242	2,686022021	3,725592148	3,523601281	2,003151971	2,649168705	3,956910734	2,197844006	1,017654924	3,109848702	2,718879298	3,356846063	3,781246667	3,529295502	2,396987935	2,491866521	2,988571379	1,819137941	1,355702988	1,343333024	2,140410224	3,610482381	3,311743575	2,167086553	2,283559538	2,137460985	3,092170415	2,400065956	1,549260016	2,406173441	2,196807332	2,334715546	2,278372839	3,419826454	2,793252736	2,839218492	3,935495676	3,80954902	3,62343929	1,800848876	2,601166984	1,736470343	1,965215736	3,034079382	1,994397066	3,205158451	2,451733432	3,601687978	2,276794668	3,845246224	3,440917359	3,729745477	2,293811442	3,389920162	1,647952992	1,595478471	2,036358919	1,06222855	1,338432533	1,06105251	3,21856566	3,968133069	2,410727636	1,073339332	1,141707905	3,301641994	2,340865072	3,7718183	2,495573998	1,873700477	3,688457362	1,120559794	1,039935602	1,94169483	2,24139795	2,791656141	1,746929982	3,673557826	2,367131828	2,617982947	1,108350047	2,740674817	2,634618444	2,033411166	3,76924335	2,233902937	2,852810198	3,151804402	2,419409106	2,326624014	1,957667507	2,387448902	2,827233622	3,43868453	1,972599028	2,11478497	1,570404408	1,409930661	1,177508574	3,533833574	3,008904657	1,705968149	2,155974596	2,062136036	2,304199218	1,146016058	3,934106827	1,03870362	1,43786452	2,01936248	2,857952072	2,397487914	2,766657431
2023-03-06	3,693309844	1,738566934	3,17350332	2,303993876	1,830135876	1,183473326	1,941272655	3,70625961	3,788251649	2,979884927	1,843972522	3,434740484	2,777839253	3,654825685	1,0623186	2,041036898	1,176030796	3,882087545	1,426650001	1,619250167	3,538615287	1,767426795	3,12783565	1,863534433	1,512164912	2,894935775	1,345311836	3,371630091	2,915478696	3,943529789	1,668503329	1,528075819	1,726509751	3,38377765	2,488080536	2,284193459	2,148642353	2,122675795	2,408306826	1,510731022	2,015185125	2,448838122	1,619593417	2,935079678	2,548306412	2,555405386	2,696666392	1,422351205	1,684271473	2,291447432	2,839572344	1,33397704	2,366300982	1,522481116	3,881555102	2,742533568	3,819719633	1,774895089	3,656922675	2,595665835	2,482576876	3,846565392	2,02303051	3,387488383	2,811574181	1,690938971	2,507515287	2,789110186	1,617768097	2,93281859	1,264079168	1,661030321	3,754086963	1,910511982	1,186850364	3,659044768	1,96833877	2,191337748	3,483750435	1,252100541	3,753982134	1,122129053	3,86652162	2,559182807	2,405549072	3,72211692	3,116664923	3,367026412	1,09234201	2,818062696	3,681952657	2,022059706	1,26637561	3,022619142	3,503291306	2,783004475	2,319229593	1,022738972	1,086025236	2,330457741	1,213098237	3,512995407	2,112454532	1,904732633	2,309172121	3,675418026	1,2087571	3,774122214	3,27858281	1,517575207	1,891422307	2,207649888	2,202813258	3,62060669	2,368851645	2,206879154	2,337246461	1,035116014	2,456839403	2,97125727	3,430331965	1,824121746	2,124301198	3,335160821	3,934132441	2,36325321	3,708886215	2,64693022	3,900785989	3,522831913	3,440698131	2,029147316	1,205363836	3,5367258	2,262162926	2,07990759	3,50727037	3,307798028	1,864314775	2,424567971	2,32452719	1,632848577	3,508462461	3,234188583	3,151764408	3,74668066	3,21552133	3,484035135	1,450371076	3,326961942	2,493617557	3,667918768	1,602310379	1,394647336	1,69166414	3,189400032	3,627194394	2,16480188	3,245910532	2,034677894	2,012086264	1,940495352	1,455766748	2,142035908	1,103606364	2,462363811	2,349615877	2,227385829	2,70321828	2,594858045	1,125959602	1,550789414	2,053434488	2,776176794	1,523839959	3,946374192	3,916780486	1,152910842	1,276136679	2,218368083	2,570242349	3,69963552	2,876549805	1,832245759	1,780409185	1,996075149	2,443788701	2,574186953	2,51625309	2,323067138	3,85102357	2,625584878	3,965732489	2,67695406	2,364573944	3,994087961	3,159069518	2,092822244	2,556077271	2,001449851
2023-03-07	3,041777247	2,329588088	2,576834081	3,963439157	3,189710076	1,209124427	3,943404308	3,940167142	2,420166882	3,019099629	1,627628541	3,04768536	3,02414578	2,632456834	3,125344864	3,992122609	2,677523469	3,117677618	2,193791596	3,608956067	1,694708311	2,456977599	1,423905369	1,681342272	3,23313775	1,630607075	2,354365005	3,219112841	3,42158632	3,185510064	3,962555263	2,870767679	2,920170237	1,048605506	3,49726332	2,323593521	1,816891896	2,350402701	2,599830289	3,277788718	1,775625133	1,959115984	3,284051784	2,175652435	2,22865071	2,761679723	2,682234369	1,08316022	1,999201428	3,597070434	2,47810801	1,413876872	1,625888484	2,869405408	3,499148715	3,159955307	1,310748558	2,969807082	1,141087883	2,425702491	1,26033429	3,051668938	3,373192625	3,809746216	1,150275629	1,191457817	3,94911703	1,237440149	2,111502121	1,619520137	1,059868607	1,857788579	2,343728674	2,419638715	3,960781919	1,604417814	3,286400259	1,815372425	2,120077721	1,247999535	3,875345017	3,999520592	2,92094717	3,327914704	2,745817511	2,135423732	3,169982534	2,965120484	3,19977968	1,522712378	3,169895011	2,63881623	1,351531142	2,28402983	1,845301844	3,972563624	1,436559939	3,009680959	3,17348206	1,539843092	1,793174725	3,447606813	1,250089787	1,751531284	3,788795595	1,809349275	3,054548627	2,205556972	3,027975922	3,773919172	1,566402079	3,646951776	1,54920464	2,414391811	1,022723682	3,847397227	1,719251245	2,976117392	3,179311314	1,288388424	3,773158419	3,679837123	3,901573359	1,636376781	1,70228293	2,861631805	2,678287647	2,199055762	2,932041766	2,09811737	2,009551059	2,301888858	2,74660331	1,024867373	1,370208227	2,866627482	1,501326481	2,622140267	1,968561096	3,202416674	2,606804257	1,75844961	2,621645256	1,883757074	2,237815343	3,790302047	2,605777552	1,260200351	2,892656916	3,63564795	1,277263605	1,077669187	1,442584189	1,248288549	2,384642461	2,999040458	1,316720397	1,54514107	1,993975651	2,122097899	1,250557282	2,946148058	3,206275088	3,41352457	3,885015913	2,706783068	2,961166575	3,758455315	3,057498794	1,375338321	3,34632684	3,493344292	2,662556825	2,02313168	2,450735296	3,758350304	2,67938655	1,552178145	3,310469558	2,929421632	1,740788016	1,490728809	1,659816803	3,459873615	1,04686051	1,540675652	3,920147373	2,280962356	3,645759281	2,714444792	2,670978582	2,212325661	2,942968936	3,148332373	3,356087316	1,294916511	2,851023573	3,535086108	1,519208869	3,451197406
2023-03-08	3,382847443	3,333838413	3,0535732	2,536069609	1,727766235	3,085790702	1,359042079	2,454390426	2,859171274	3,800582615	3,90879143	3,218260026	1,06837528	1,055618228	1,520062947	1,475113603	3,628394227	3,538945186	1,118449657	2,691871352	1,159562074	2,866339553	2,21764272	2,914399633	3,653202486	2,676843805	2,36839398	3,514670222	3,25869617	3,482152512	2,373492127	1,698263876	2,640590247	2,055830505	1,014180678	2,157035451	2,659982656	2,523889132	1,163559875	1,401596216	2,057915013	1,647939379	3,766639711	2,023362419	2,259389669	3,304879568	1,929758739	1,78688482	3,098700931	3,145727932	2,558846953	2,083503517	1,247951834	1,886728377	2,880570588	3,629943436	3,891809577	2,292689922	2,906884612	1,911158379	3,676965884	2,93235395	1,030351597	2,527754601	3,214985821	3,908769939	3,823750968	1,468349393	2,179947277	3,942130632	3,141327553	3,614467496	3,249772641	2,460253663	2,802850855	2,026191987	1,195073129	2,959421678	3,16623014	3,081069366	2,418215835	3,033482814	3,521538451	3,974299623	2,848995452	2,14355758	2,614945114	1,660798146	1,763951136	1,383206781	1,76373215	2,44509176	3,694012874	1,330261143	2,483665121	2,803853206	3,073479565	2,402797703	3,441524226	2,767222411	2,410962231	1,054735755	1,568821646	2,819145339	2,359922713	3,634592173	1,679740425	3,179304936	2,14024084	2,667646114	1,138066777	2,432416978	1,006893021	1,950705139	3,816203483	1,692225976	1,431828477	1,454850517	1,305546268	3,403777357	2,345838637	1,655678915	3,64517361	3,863169207	3,118612583	3,905477115	1,976775916	1,261115223	1,539716358	3,829832058	2,558943243	2,320313286	1,576511796	1,109466797	1,963834971	2,171940956	2,591330397	1,078060572	1,401641994	3,017340276	2,350926894	3,951012802	3,171870521	1,526836607	3,913370083	1,16436196	1,689782143	3,05710842	1,778212721	2,374883023	1,381817315	3,266619344	3,278222835	1,652676786	2,626671801	2,891696436	3,099236612	3,02063287	3,259214565	3,241906006	3,301689669	1,238009943	3,68255712	3,589454607	1,245273058	1,647288594	2,097608759	2,183960424	3,24706965	1,382809095	2,086815173	2,761953415	3,035960786	1,674061136	2,450007966	2,797276083	2,757239163	1,429906471	1,309589842	2,560575064	3,138407736	2,155903472	3,700983977	1,542369611	1,953888133	1,065789178	3,31056363	1,118097254	1,776400343	3,378797567	1,305352985	2,884638164	1,052449832	1,089172163	2,182288272	3,218878497	3,452782816	2,194146844	1,15153446	1,073200035
2023-03-09	1,047190829	2,118731509	1,525418883	3,780392502	2,246680061	2,303050732	3,840249109	2,980414467	2,389868048	2,109708015	1,597126459	2,590471993	3,491143281	1,68320514	2,385344794	2,275099193	1,414880462	1,223760795	1,825870119	1,885360908	2,374649897	1,11274037	2,913178968	2,913110239	2,477303371	1,771973912	2,310299946	3,952807155	1,829635392	1,310914697	3,31378922	3,293868171	2,239637328	1,492377088	3,490802407	2,855769884	2,367648571	3,897545585	1,053811947	1,584852737	2,514374331	1,904505904	2,754079375	2,972653523	3,716169853	3,974502135	2,993658985	3,628036283	3,175022549	2,790905818	2,956741364	1,077688746	2,646586659	1,107667158	3,369946104	3,027398282	3,033983094	2,388715199	3,483218088	3,29448484	3,957256231	1,696969189	1,152385345	2,525566986	3,494080542	2,241697173	3,884335927	1,290752019	3,155868998	2,31632865	3,225552879	2,519094611	2,560529015	2,016315595	2,40638749	3,134465745	1,261624127	2,143421122	1,913283143	3,815158563	3,67583363	2,917338659	1,601897067	2,602351078	1,099168991	1,635030879	2,866917112	3,429208823	2,081852846	2,020170024	1,169388486	3,407610125	2,374363268	2,804831143	2,582602628	2,596016656	2,092245471	1,935263089	1,528196487	2,104119993	2,280322637	1,933564237	2,434224188	2,303503121	1,318352757	2,712304261	3,263270277	3,991546672	2,08601295	2,04391337	1,434284334	1,361374289	3,935589576	2,830075156	2,931021002	1,204513837	2,316154531	3,848699678	1,829156677	1,695428674	2,769658969	1,503497391	1,489324799	1,003985368	3,828545778	1,409537874	2,525000091	2,63949348	2,550937747	1,861412708	1,058536771	3,036805098	2,634148035	3,524372098	3,867126718	2,048615611	3,838620262	1,845228026	3,221205176	1,82084736	1,363104937	1,895003774	3,322153724	3,140767963	2,848608759	3,692311454	3,916224325	3,590087777	3,233049311	3,79951834	2,708258056	2,299812087	1,654529129	3,503346904	3,354930967	1,844395171	3,723005233	1,073982289	2,858653468	2,286665093	2,215575417	3,369711023	2,495908066	3,076641438	2,529700676	1,074380858	1,179726154	2,523177774	1,78908909	3,582735699	1,824511078	1,215635134	1,00620612	2,860289989	3,332921022	3,834867269	3,68632789	2,005503306	1,045243978	1,629096184	2,782633965	1,123703993	2,988838673	1,98051475	1,875042953	3,68893972	1,441468028	2,52917319	2,647711359	3,757256092	1,097548145	3,21217492	1,628840394	1,164567771	1,346829814	1,354971958	1,721517168	3,288285545	2,175252775	3,142475414
2023-03-10	2,023095222	3,11601122	2,118273773	2,463226187	3,209058922	3,041019847	1,134627538	2,75029891	3,054009615	1,860685114	2,815273686	3,982568882	3,467187625	3,402395596	2,979643411	1,994305185	2,733384281	3,535953908	3,141424847	3,513267241	1,165503367	2,087541566	3,543792563	3,2976962	1,107415608	1,871705507	1,54344612	2,368141227	1,665235909	3,229505951	2,983652454	3,337094426	3,620609312	3,707933294	1,429162146	1,860976473	3,48240507	1,651108976	1,706706978	1,820827445	1,911577952	2,238547853	2,03891581	1,348528521	3,853152403	3,485112633	1,838100172	1,516767536	2,783748426	3,740963698	1,894821585	1,930545561	1,802706275	1,75916316	2,561468897	1,712020685	3,887599391	1,993231839	2,993081468	1,582673629	1,265834843	1,047522494	2,035645367	1,256684551	1,584397226	1,943979847	3,395383166	3,243864857	2,141263924	1,045498739	1,6767475	2,83199933	1,695289907	2,064604835	1,054717616	2,987414088	2,421531247	1,870091997	3,29918813	3,776697996	1,958627772	3,753482544	1,931668087	1,533194201	1,286453442	2,372533425	3,166400708	1,638446875	3,73961012	3,432437836	2,172156796	3,073506662	2,8150727	3,752834238	3,990752724	3,2581656	3,100637464	3,563355275	3,6731697	1,557706009	2,696110016	2,490736532	1,408458558	3,606940726	2,824017699	1,273622778	3,309423427	1,841862184	3,94006787	2,36896579	2,014867963	2,454584575	2,36919741	3,346330586	1,864119022	2,720042816	2,235375976	3,585052818	3,62397135	2,164736626	1,213703954	2,61495888	2,773097326	3,849248294	2,687400271	2,115206172	1,444883044	1,181674565	2,588930441	2,861627983	1,81650593	3,723873568	3,537569594	1,160675807	3,738049552	1,012362836	3,219026481	1,463499153	1,131193377	1,801494665	1,368827224	1,758426202	2,940735621	2,889801297	3,742655828	1,109908647	3,441234547	2,39352633	2,239999933	1,197450049	1,150080288	1,104964506	3,033988627	3,661468003	3,907013924	2,64557477	1,964209085	3,220910939	2,690343989	2,958394881	2,751412249	2,336525427	3,963009479	1,931139782	3,525210919	1,852931913	3,977983619	1,219601445	1,87865919	2,1900228	3,883854767	2,195825618	2,030556303	3,906128003	2,920425105	3,669113545	2,067868481	2,961552704	1,458118756	3,481515988	1,320244163	2,864428566	1,871024822	2,928977511	3,044873387	3,017404501	1,302514137	1,830571443	2,840021086	3,31065581	3,072918674	1,64068657	2,17340458	3,338166227	2,095096767	3,83830413	2,279617455	2,97270487	1,628505574	2,505947658
